Codigo,DataVenda,CodFilial,CodCliente,NomeCliente,CidadeCliente,EstadoCliente,CodProduto,DescricaoProdutos,CodVendedor,NomeVendedor,ValorBruto,ValorLiquido,Desconto,Variação
1,2024-12-24 17:32:18,10,1010,ASSOC. DAS PIONEIRAS SOCIAIS,São Paulo,SP,951236,PORTA PALETE ,4567,Camila Martins,5928.94,4921.02,1007.9198,0.17
2,2024-09-01 13:41:45,10,1010,ASSOC. DAS PIONEIRAS SOCIAIS,São Paulo,SP,325874,SUPORTE PORTA,4879,Vanessa Correia,7064.33,5863.39,1200.9361,0.17
3,2025-07-13 15:23:21,11,1155,HEMOCLIN CLINICA HEMATOLOGICA LTDA,Florianópolis,SC,753698,PALETE PEQUENO,5514,Priscila Campos,9269.71,7693.86,1575.8507,0.17
4,2025-02-04 20:03:30,12,1254,EXLAB - LABORATORIO DE ANALISES CLINICAS LTDA,Goiânia,GO,357412,PALETE MEDIO,2425,Bruno Rodrigues,5928.94,4921.02,1007.9198,0.17
5,2025-04-16 20:24:18,13,1315,LEMOS LAB. DE ANALISES CLINICAS S/S LTDA,Natal,RN,357896,PALETE GRANDE,6568,Leandro Pinto,3193.62,2650.70,542.9154,0.17
6,2025-07-10 06:37:30,14,1488,SYNVIA LABORATÓRIOS E TOXICOLOGIA LTDA,Boa Vista,RR,985214,REFRIGERADOR TS4,1241,Gabriela Rocha,16590.22,13769.88,2820.3374,0.17
7,2024-11-19 04:53:49,15,1599,HEMOLAB LAB. HEMAT. ANAL. CLINICAS,Macapá,AP,985214,REFRIGERADOR TS4,1254,Larissa Barbosa,17331.34,14385.01,2946.3278,0.17
8,2025-01-07 14:40:40,16,1698,LAB. MEDICO DR. MARICONDI LTDA,Rio Branco,AC,123456,CARRO TRANSPORTE,1596,Mateus Carvalho,4608.44,3825.01,783.4348,0.17
9,2024-10-27 08:47:11,17,1789,ANIMA CENTRO HOSPITALAR LTDA,Campo Grande,MS,741852,GAVETA QUADRO,1254,Larissa Barbosa,5013.32,4161.06,852.2644,0.17
10,2025-07-03 11:28:44,18,1887,LABORCENTER FRANCAII,João Pessoa,PB,852963,MANOPLA TW12,2369,Mariana Dias,4586.73,3806.99,779.7441,0.17
11,2025-03-31 17:34:16,19,1958,LAB. PASTEUR LTDA,Rio de Janeiro,RJ,963852,MANOPLA TW24,2425,Bruno Rodrigues,7064.33,5863.39,1200.9361,0.17
12,2025-05-20 13:29:19,20,2098,QUIBASA - QUIMICA BASICA LTDA,Palmas,TO,852741,MANOPLA ZW64,1478,Ricardo Almeida,13445.50,11159.77,2285.735,0.17
13,2025-06-03 09:16:40,21,2189,ANDREY PAIXAO SILVA,Recife,PE,963741,MANOPLA ZW90,1241,Gabriela Rocha,18834.48,15632.62,3201.8616,0.17
14,2025-05-30 10:11:57,22,2288,BRUNA CUTAIT ME,Porto Alegre,RS,789456,EIXO 12X48,1241,Gabriela Rocha,2861.45,2375.00,486.4465,0.17
15,2025-02-15 10:11:25,13,1315,LEMOS LAB. DE ANALISES CLINICAS S/S LTDA,Natal,RN,123798,EIXO 24X48,8745,João Silva,9269.71,7693.86,1575.8507,0.17
16,2024-11-26 22:00:16,17,1789,ANIMA CENTRO HOSPITALAR LTDA,Campo Grande,MS,147258,EIXO 36X48,1596,Mateus Carvalho,2889.79,2398.53,491.2643,0.17
17,2024-11-28 10:41:56,20,2098,QUIBASA - QUIMICA BASICA LTDA,Palmas,TO,258369,EIXO 48X48,9856,Juliana Ferreira,11534.00,9573.22,1960.78,0.17
18,2025-04-21 14:55:53,14,1488,SYNVIA LABORATÓRIOS E TOXICOLOGIA LTDA,Boa Vista,RR,951236,PORTA PALETE ,4748,Thiago Nascimento,21584.42,17915.07,3669.3514,0.17
19,2025-06-18 05:46:23,23,2388,DIAFARMA PROD. P/LABORATORIOS LTDA,Fortaleza,CE,325874,SUPORTE PORTA,6454,Gustavo Ribeiro,19066.18,15824.93,3241.2506,0.17
20,2025-03-21 01:01:15,26,2688,ZOOGENE LAB. ANIMAL LTDA,Curitiba,PR,753698,PALETE PEQUENO,1596,Mateus Carvalho,1686.65,1399.92,286.7305,0.17
21,2024-08-27 12:48:36,24,2488,A&C LABOR ASSIST. TECNICA HOSPITALAR LTDA ME,Teresina,PI,357412,PALETE MEDIO,5859,Carlos Souza,3095.13,2568.96,526.1721,0.17
22,2024-10-18 02:34:36,30,3089,VITAL SYSTEMS ,Salvador,BA,357896,PALETE GRANDE,9897,Felipe Araújo,9872.89,8194.50,1678.3913,0.17
23,2025-06-30 05:26:12,25,2589,HOREBE DIAGNOSTICA PROTUTOS LABORATORIAIS LTDA,Aracaju,SE,985214,REFRIGERADOR TS4,1478,Ricardo Almeida,5303.77,4402.13,901.6409,0.17
24,2025-05-16 13:07:15,18,1887,LABORCENTER FRANCAII,João Pessoa,PB,985214,REFRIGERADOR TS4,3256,Letícia Moreira,5983.32,4966.16,1017.1644,0.17
25,2025-02-08 11:23:20,27,2787,TATIANE FLORES,Brasília,DF,123456,CARRO TRANSPORTE,5859,Carlos Souza,24275.93,20149.02,4126.9081,0.17
26,2024-10-26 17:34:17,28,2888,LUIZ BATISTA EIRELI,Porto Velho,RO,741852,GAVETA QUADRO,2425,Bruno Rodrigues,8165.89,6777.69,1388.2013,0.17
27,2024-11-05 15:18:34,16,1698,LAB. MEDICO DR. MARICONDI LTDA,Rio Branco,AC,852963,MANOPLA TW12,1616,Lucas Cardoso,10380.95,8616.19,1764.7615,0.17
28,2025-05-16 17:00:32,18,1887,LABORCENTER FRANCAII,João Pessoa,PB,963852,MANOPLA TW24,1616,Lucas Cardoso,4598.46,3816.72,781.7382,0.17
29,2025-02-21 03:05:13,29,2989,LBX PRODUTOS PARA LAB. LTDA,Maceió,AL,852741,MANOPLA ZW64,1616,Lucas Cardoso,4980.88,4134.13,846.7496,0.17
30,2024-09-28 20:14:48,30,3089,VITAL SYSTEMS ,Salvador,BA,963741,MANOPLA ZW90,4748,Thiago Nascimento,9259.68,7685.53,1574.1456,0.17
31,2024-10-18 06:14:08,30,3089,VITAL SYSTEMS ,Salvador,BA,789456,EIXO 12X48,3256,Letícia Moreira,7880.14,6540.52,1339.6238,0.17
32,2024-09-03 03:15:15,11,1155,HEMOCLIN CLINICA HEMATOLOGICA LTDA,Florianópolis,SC,123798,EIXO 24X48,2425,Bruno Rodrigues,4052.42,3363.51,688.9114,0.17
33,2025-07-08 10:54:53,14,1488,SYNVIA LABORATÓRIOS E TOXICOLOGIA LTDA,Boa Vista,RR,147258,EIXO 36X48,1010,Maria Santos,14116.02,11716.30,2399.7234,0.17
34,2025-01-10 07:19:40,31,3188,ADDLIFE DIAGNOSTICOS LTDA,Belém,PA,258369,EIXO 48X48,1616,Lucas Cardoso,1686.95,1400.17,286.7815,0.17
35,2025-06-22 20:44:18,13,1315,LEMOS LAB. DE ANALISES CLINICAS S/S LTDA,Natal,RN,951236,PORTA PALETE ,7539,Rafael Pereira,3074.63,2551.94,522.6871,0.17
36,2025-02-27 01:19:17,32,3287,VITALLIS DIAGNOSTICA LTDA,Belo Horizonte,MG,325874,SUPORTE PORTA,2369,Mariana Dias,19943.49,16553.10,3390.3933,0.17
37,2025-01-06 20:55:22,23,2388,DIAFARMA PROD. P/LABORATORIOS LTDA,Fortaleza,CE,753698,PALETE PEQUENO,4748,Thiago Nascimento,12734.24,10569.42,2164.8208,0.17
